MethodName;Description;VaporModel;LiquidModel;ComponentI;ComponentJ;ParameterType;Value
Water (Steam Tables);Pure water calculations based on IAPWS steam tables;SteamTables;SteamTables;Water;;;
Ethanol-Water (NRTL);Ethanol-Water equilibrium using NRTL Aspen;IdealGas;NRTLAspen;Ethanol;;;
Ethanol-Water (NRTL);Ethanol-Water equilibrium using NRTL Aspen;IdealGas;NRTLAspen;Water;;;
Ethanol-Water (NRTL);Ethanol-Water equilibrium using NRTL Aspen;IdealGas;NRTLAspen;Ethanol;Water;NRTL_A;-0.8009
Ethanol-Water (NRTL);Ethanol-Water equilibrium using NRTL Aspen;IdealGas;NRTLAspen;Water;Ethanol;NRTL_B;-586.0809
Ethanol-Water (NRTL);Ethanol-Water equilibrium using NRTL Aspen;IdealGas;NRTLAspen;Ethanol;Water;NRTL_B;246.18
Ethanol-Water (NRTL);Ethanol-Water equilibrium using NRTL Aspen;IdealGas;NRTLAspen;Water;Ethanol;NRTL_A;3.4578
Ethanol-Water (NRTL);Ethanol-Water equilibrium using NRTL Aspen;IdealGas;NRTLAspen;Ethanol;Water;NRTL_C;0.3
Methanol-Water (Wilson);Methanol-Water mixture using Wilson Aspen and SRK 1972;SoaveRedlichKwong1972;WilsonAspen;Methanol;;;
Methanol-Water (Wilson);Methanol-Water mixture using Wilson Aspen and SRK 1972;SoaveRedlichKwong1972;WilsonAspen;Water;;;
Methanol-Water (Wilson);Methanol-Water mixture using Wilson Aspen and SRK 1972;SoaveRedlichKwong1972;WilsonAspen;Methanol;Water;Wilson_B;-580.237
Methanol-Water (Wilson);Methanol-Water mixture using Wilson Aspen and SRK 1972;SoaveRedlichKwong1972;WilsonAspen;Methanol;Water;Wilson_A;1.0837
Methanol-Water (Wilson);Methanol-Water mixture using Wilson Aspen and SRK 1972;SoaveRedlichKwong1972;WilsonAspen;Water;Methanol;Wilson_A;-1.8842
Methanol-Water (Wilson);Methanol-Water mixture using Wilson Aspen and SRK 1972;SoaveRedlichKwong1972;WilsonAspen;Water;Methanol;Wilson_B;617.4097
Methanol-Glycerol (Wilson);Methanol-Glycerol mixture with SRK for Vapor;SoaveRedlichKwong1972;WilsonAspen;Methanol;;;
Methanol-Glycerol (Wilson);Methanol-Glycerol mixture with SRK for Vapor;SoaveRedlichKwong1972;WilsonAspen;Glycerol;;;
Methanol-Glycerol (Wilson);Methanol-Glycerol mixture with SRK for Vapor;SoaveRedlichKwong1972;WilsonAspen;Glycerol;Methanol;Wilson_B;-466.0408
Methanol-Glycerol (Wilson);Methanol-Glycerol mixture with SRK for Vapor;SoaveRedlichKwong1972;WilsonAspen;Methanol;Glycerol;Wilson_B;123.2875
